[2026-07-27 12:02:45] 準備下載 6 章（3 版本 × 2 卷），間隔 1.00s，gb=0
[2026-07-27 12:02:52] 進度 6/6｜新增 6 跳過 0 失敗 0｜約剩 0 分
[2026-07-27 12:02:53] 完成：新增 6、跳過 0、失敗 0（共 6）
[2026-07-27 12:03:40] 準備下載 3567 章（3 版本 × 66 卷），間隔 1.50s，gb=0
[2026-07-29 10:17:21] 失敗 korean 1 Pet 5：record 為空：https://bible.fhl.net/json/qb.php?chineses=%E5%BD%BC%E5%89%8D&chap=5&version=korean&gb=0
[2026-07-29 10:17:25] 進度 150/602｜新增 150 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:28] 進度 125/380｜新增 125 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:43] 進度 126/140｜新增 125 跳過 0 失敗 1｜約剩 0 分
[2026-07-29 10:17:43] 進度 175/1256｜新增 175 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:17:47] 進度 175/602｜新增 175 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:48] 進度 140/140｜新增 139 跳過 0 失敗 1｜約剩 0 分
[2026-07-29 10:17:48] 完成：新增 139、跳過 0、失敗 1（共 140）
[2026-07-29 10:17:48] 以下章節需重跑：
[2026-07-29 10:17:48]   korean 1 Pet 5 → record 為空：https://bible.fhl.net/json/qb.php?chineses=%E5%BD%BC%E5%89%8D&chap=5&version=korean&gb=0
[2026-07-29 10:17:48] 進度 150/380｜新增 150 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:52] 準備下載 5 章（1 版本 × 1 卷），間隔 1.50s，gb=0
[2026-07-29 10:17:53] 失敗 korean 1 Pet 5：record 為空：https://bible.fhl.net/json/qb.php?chineses=%E5%BD%BC%E5%89%8D&chap=5&version=korean&gb=0
[2026-07-29 10:17:53] 進度 200/1256｜新增 200 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:17:54] 完成：新增 0、跳過 4、失敗 1（共 5）
[2026-07-29 10:17:54] 以下章節需重跑：
[2026-07-29 10:17:54]   korean 1 Pet 5 → record 為空：https://bible.fhl.net/json/qb.php?chineses=%E5%BD%BC%E5%89%8D&chap=5&version=korean&gb=0
[2026-07-29 10:17:57] 進度 200/602｜新增 200 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:17:58] 進度 175/380｜新增 175 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:18:03] 進度 225/1256｜新增 225 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:18:07] 進度 225/602｜新增 225 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:18:07] 進度 200/380｜新增 200 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:18:13] 進度 250/1256｜新增 250 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:18:17] 進度 250/602｜新增 250 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:18:17] 進度 225/380｜新增 225 跳過 0 失敗 0｜約剩 0 分
[2026-07-29 10:18:24] 進度 275/1256｜新增 275 跳過 0 失敗 0｜約剩 1 分
[2026-07-29 10:18:26] 進度 275/602｜新增 275 跳過 0 失敗 0｜約剩 0 分
